Reporter;TradeFlow;ProductCode;Product Description;Year;Partner;Trade Value 1000USD;Quantity;Quantity Unit
United States;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;        8024781.81;1.48243e+008;Item
European Union;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;        4326265.48;1.17073e+008;Item
Germany;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;        4055910.69;8.51994e+007;Item
France;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;        2065927.46;3.51207e+007;Item
United Kingdom;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;        1803202.82;4.15565e+007;Item
Canada;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;        1614313.43;2.31691e+007;Item
Netherlands;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;        1602793.61;3.00788e+007;Item
Mexico;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;        1306178.71;2.65279e+007;Item
Italy;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;        1296200.83;3.2683e+007;Item
Spain;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;        1094638.81;2.78817e+007;Item
Belgium;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         875970.62;1.59945e+007;Item
Saudi Arabia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         799340.29;1.62343e+007;Item
Japan;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         752122.46;1.27861e+007;Item
Australia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         721220.96;1.57194e+007;Item
Czech Republic;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         611193.21;1.35947e+007;Item
Poland;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         551794.37;1.31297e+007;Item
China;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         523845.97;8.90537e+006;Item
Russian Federation;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         497266.46;1.38766e+007;Item
Switzerland;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         466183.04;7.10796e+006;Item
Sweden;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         455457.01;8.06394e+006;Item
Hungary;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         444042.67;1.06828e+007;Item
United Arab Emirates;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         421590.90;;
Turkey;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         415936.18;1.13254e+007;Item
Brazil;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         399884.73;1.12447e+007;Item
Austria;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         355285.84;7.2157e+006;Item
Slovak Republic;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         351819.01;;
Korea, Rep.;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         314435.16;5.34539e+006;Item
Hong Kong, China;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         301590.62;2.80449e+006;Item
Malaysia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         277465.47;7.2223e+006;Item
Finland;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         262876.47;5.30927e+006;Item
Ghana;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         261984.03;;
Norway;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         261571.39;4.20711e+006;Item
Portugal;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         252444.38;5.12704e+006;Item
Other Asia, nes;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         194479.34;3.52395e+006;Item
India;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         186775.05;5.25388e+006;Item
Thailand;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         176380.04;3.38134e+006;Item
Denmark;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         175305.22;3.39727e+006;Item
Romania;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         174754.49;4.55731e+006;Item
Colombia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         174624.30;4.43437e+006;Item
South Africa;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         160973.00;3.92169e+006;Item
Argentina;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         158917.11;2.91676e+006;Item
Iran, Islamic Rep.;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         157713.44;3.20309e+006;Item
Singapore;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         147017.03;2.97098e+006;Item
Greece;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         146937.97;3.56395e+006;Item
Panama;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         137849.89;0;Item
New Zealand;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         137672.87;3.01821e+006;Item
Algeria;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         133827.30;4.94264e+006;Item
Egypt, Arab Rep.;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         133611.29;2.71359e+006;Item
Morocco;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         133083.49;2.88377e+006;Item
Ireland;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         128492.28;3.29002e+006;Item
Israel;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         123732.00;2.51294e+006;Item
Slovenia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         118041.31;3.03366e+006;Item
Estonia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         113502.21;2.63287e+006;Item
Myanmar;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;         103061.46;4.76325e+006;Item
Kazakhstan;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          99647.41;3.26035e+006;Item
Chile;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          89262.25;2.47428e+006;Item
Kuwait;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          88699.39;1.51813e+006;Item
Bulgaria;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          85968.45;1.82925e+006;Item
Oman;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          85759.68;1.74174e+006;Item
Philippines;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          82097.50;7.1809e+006;Item
Luxembourg;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          75399.19;989471;Item
Vietnam;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          74978.27;1.27463e+006;Item
Ecuador;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          73662.07;1.5068e+006;Item
Latvia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          72871.61;1.41451e+006;Item
Paraguay;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          67383.78;1.36854e+006;Item
Croatia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          66093.92;1.47583e+006;Item
Qatar;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          65321.87;1.32666e+006;Item
Ukraine;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          64477.47;2.26321e+006;Item
Lebanon;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          63484.71;1.28935e+006;Item
Lithuania;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          58779.14;1.20098e+006;Item
Peru;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          55620.64;1.43706e+006;Item
Indonesia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          46136.51;784320;Item
Bolivia;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          45539.46;1.02933e+006;Item
Belarus;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          45095.70;1.43708e+006;Item
Ethiopia(excludes Eritrea);Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          42980.37;872913;Item
Jordan;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          42381.41;720483;Item
Bosnia and Herzegovina;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          37528.40;637982;Item
Guatemala;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          37151.12;631568;Item
Angola;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          32627.63;2.33282e+006;Item
Serbia, FR(Serbia/Montenegro);Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          30652.35;521089;Item
Dominican Republic;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          29980.22;;
Bahrain;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          28930.15;485250;Item
Nigeria;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          27818.42;1.89636e+006;Item
Cyprus;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          27767.38;676737;Item
Bangladesh;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          27681.64;3.11974e+006;Item
Uruguay;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          27576.93;674948;Item
Kenya;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          27223.25;983155;Item
Pakistan;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          25076.50;884474;Item
Sri Lanka;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          24613.67;693250;Item
Costa Rica;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;          24412.00;415003;Item
