Data.Type,HTS.Number,Year,Month,Description,Quantity.Description,General.First.Unit.of.Quantity,Suppressed
General First Unit of Quantity,4011,2000,1,"NEW PNEUMATIC TIRES, OF RUBBER",number,12108405.00,0.00
General First Unit of Quantity,4011,2000,2,"NEW PNEUMATIC TIRES, OF RUBBER",number,11444971.00,0.00
General First Unit of Quantity,4011,2000,3,"NEW PNEUMATIC TIRES, OF RUBBER",number,12161965.00,0.00
General First Unit of Quantity,4011,2000,4,"NEW PNEUMATIC TIRES, OF RUBBER",number,11558210.00,0.00
General First Unit of Quantity,4011,2000,5,"NEW PNEUMATIC TIRES, OF RUBBER",number,12728350.00,0.00
General First Unit of Quantity,4011,2000,6,"NEW PNEUMATIC TIRES, OF RUBBER",number,12682810.00,0.00
General First Unit of Quantity,4011,2000,7,"NEW PNEUMATIC TIRES, OF RUBBER",number,11731642.00,0.00
General First Unit of Quantity,4011,2000,8,"NEW PNEUMATIC TIRES, OF RUBBER",number,12164012.00,0.00
General First Unit of Quantity,4011,2000,9,"NEW PNEUMATIC TIRES, OF RUBBER",number,10823805.00,0.00
General First Unit of Quantity,4011,2000,10,"NEW PNEUMATIC TIRES, OF RUBBER",number,11309064.00,0.00
General First Unit of Quantity,4011,2000,11,"NEW PNEUMATIC TIRES, OF RUBBER",number,10726441.00,0.00
General First Unit of Quantity,4011,2000,12,"NEW PNEUMATIC TIRES, OF RUBBER",number,9642187.00,0.00
General First Unit of Quantity,4011,2001,1,"NEW PNEUMATIC TIRES, OF RUBBER",number,10812178.00,0.00
General First Unit of Quantity,4011,2001,2,"NEW PNEUMATIC TIRES, OF RUBBER",number,8762991.00,0.00
General First Unit of Quantity,4011,2001,3,"NEW PNEUMATIC TIRES, OF RUBBER",number,10409158.00,0.00
General First Unit of Quantity,4011,2001,4,"NEW PNEUMATIC TIRES, OF RUBBER",number,10653715.00,0.00
General First Unit of Quantity,4011,2001,5,"NEW PNEUMATIC TIRES, OF RUBBER",number,11118682.00,0.00
General First Unit of Quantity,4011,2001,6,"NEW PNEUMATIC TIRES, OF RUBBER",number,10793835.00,0.00
General First Unit of Quantity,4011,2001,7,"NEW PNEUMATIC TIRES, OF RUBBER",number,10405525.00,0.00
General First Unit of Quantity,4011,2001,8,"NEW PNEUMATIC TIRES, OF RUBBER",number,10500547.00,0.00
General First Unit of Quantity,4011,2001,9,"NEW PNEUMATIC TIRES, OF RUBBER",number,9587705.00,0.00
General First Unit of Quantity,4011,2001,10,"NEW PNEUMATIC TIRES, OF RUBBER",number,10277511.00,0.00
