Series ID,Year,Period,Label,Value
CUUR0000SETC01,2000,M01,2000 Jan,97.1
CUUR0000SETC01,2000,M02,2000 Feb,96.9
CUUR0000SETC01,2000,M03,2000 Mar,97.3
CUUR0000SETC01,2000,M04,2000 Apr,96.7
CUUR0000SETC01,2000,M05,2000 May,97.2
CUUR0000SETC01,2000,M06,2000 Jun,97.0
CUUR0000SETC01,2000,M07,2000 Jul,97.4
CUUR0000SETC01,2000,M08,2000 Aug,97.9
CUUR0000SETC01,2000,M09,2000 Sep,97.8
CUUR0000SETC01,2000,M10,2000 Oct,98.0
CUUR0000SETC01,2000,M11,2000 Nov,98.6
CUUR0000SETC01,2000,M12,2000 Dec,98.5
CUUR0000SETC01,2001,M01,2001 Jan,99.7
CUUR0000SETC01,2001,M02,2001 Feb,100.0
CUUR0000SETC01,2001,M03,2001 Mar,100.4
CUUR0000SETC01,2001,M04,2001 Apr,99.7
CUUR0000SETC01,2001,M05,2001 May,100.4
CUUR0000SETC01,2001,M06,2001 Jun,100.2
CUUR0000SETC01,2001,M07,2001 Jul,101.2
CUUR0000SETC01,2001,M08,2001 Aug,100.8
CUUR0000SETC01,2001,M09,2001 Sep,100.4
CUUR0000SETC01,2001,M10,2001 Oct,100.9
CUUR0000SETC01,2001,M11,2001 Nov,101.3
CUUR0000SETC01,2001,M12,2001 Dec,101.2
CUUR0000SETC01,2002,M01,2002 Jan,101.6
CUUR0000SETC01,2002,M02,2002 Feb,101.4
CUUR0000SETC01,2002,M03,2002 Mar,101.7
CUUR0000SETC01,2002,M04,2002 Apr,102.3
CUUR0000SETC01,2002,M05,2002 May,102.1
CUUR0000SETC01,2002,M06,2002 Jun,101.9
CUUR0000SETC01,2002,M07,2002 Jul,102.2
CUUR0000SETC01,2002,M08,2002 Aug,102.4
CUUR0000SETC01,2002,M09,2002 Sep,101.8
CUUR0000SETC01,2002,M10,2002 Oct,101.4
CUUR0000SETC01,2002,M11,2002 Nov,101.5
CUUR0000SETC01,2002,M12,2002 Dec,101.3
CUUR0000SETC01,2003,M01,2003 Jan,102.3
CUUR0000SETC01,2003,M02,2003 Feb,102.7
CUUR0000SETC01,2003,M03,2003 Mar,102.3
CUUR0000SETC01,2003,M04,2003 Apr,102.0
CUUR0000SETC01,2003,M05,2003 May,102.0
CUUR0000SETC01,2003,M06,2003 Jun,101.7
CUUR0000SETC01,2003,M07,2003 Jul,101.5
CUUR0000SETC01,2003,M08,2003 Aug,101.7
CUUR0000SETC01,2003,M09,2003 Sep,101.1
CUUR0000SETC01,2003,M10,2003 Oct,101.4
CUUR0000SETC01,2003,M11,2003 Nov,101.1
CUUR0000SETC01,2003,M12,2003 Dec,100.8
CUUR0000SETC01,2004,M01,2004 Jan,101.1
CUUR0000SETC01,2004,M02,2004 Feb,101.0
CUUR0000SETC01,2004,M03,2004 Mar,100.6
CUUR0000SETC01,2004,M04,2004 Apr,100.6
CUUR0000SETC01,2004,M05,2004 May,100.5
CUUR0000SETC01,2004,M06,2004 Jun,101.0
CUUR0000SETC01,2004,M07,2004 Jul,102.0
CUUR0000SETC01,2004,M08,2004 Aug,102.4
CUUR0000SETC01,2004,M09,2004 Sep,102.8
CUUR0000SETC01,2004,M10,2004 Oct,102.8
CUUR0000SETC01,2004,M11,2004 Nov,103.2
CUUR0000SETC01,2004,M12,2004 Dec,103.2
CUUR0000SETC01,2005,M01,2005 Jan,103.8
CUUR0000SETC01,2005,M02,2005 Feb,104.0
CUUR0000SETC01,2005,M03,2005 Mar,103.5
CUUR0000SETC01,2005,M04,2005 Apr,103.5
CUUR0000SETC01,2005,M05,2005 May,103.5
CUUR0000SETC01,2005,M06,2005 Jun,103.8
CUUR0000SETC01,2005,M07,2005 Jul,104.4
CUUR0000SETC01,2005,M08,2005 Aug,104.6
CUUR0000SETC01,2005,M09,2005 Sep,105.0
CUUR0000SETC01,2005,M10,2005 Oct,105.3
CUUR0000SETC01,2005,M11,2005 Nov,105.8
CUUR0000SETC01,2005,M12,2005 Dec,106.2
CUUR0000SETC01,2006,M01,2006 Jan,106.4
CUUR0000SETC01,2006,M02,2006 Feb,106.9
CUUR0000SETC01,2006,M03,2006 Mar,107.1
CUUR0000SETC01,2006,M04,2006 Apr,107.1
CUUR0000SETC01,2006,M05,2006 May,108.1
CUUR0000SETC01,2006,M06,2006 Jun,107.9
CUUR0000SETC01,2006,M07,2006 Jul,108.9
CUUR0000SETC01,2006,M08,2006 Aug,109.0
CUUR0000SETC01,2006,M09,2006 Sep,109.4
CUUR0000SETC01,2006,M10,2006 Oct,109.4
CUUR0000SETC01,2006,M11,2006 Nov,110.0
CUUR0000SETC01,2006,M12,2006 Dec,110.0
CUUR0000SETC01,2007,M01,2007 Jan,110.196
CUUR0000SETC01,2007,M02,2007 Feb,110.716
CUUR0000SETC01,2007,M03,2007 Mar,110.747
CUUR0000SETC01,2007,M04,2007 Apr,111.102
CUUR0000SETC01,2007,M05,2007 May,111.202
CUUR0000SETC01,2007,M06,2007 Jun,111.179
CUUR0000SETC01,2007,M07,2007 Jul,111.417
CUUR0000SETC01,2007,M08,2007 Aug,111.967
CUUR0000SETC01,2007,M09,2007 Sep,112.268
CUUR0000SETC01,2007,M10,2007 Oct,112.841
CUUR0000SETC01,2007,M11,2007 Nov,113.088
CUUR0000SETC01,2007,M12,2007 Dec,113.060
CUUR0000SETC01,2008,M01,2008 Jan,112.738
CUUR0000SETC01,2008,M02,2008 Feb,113.859
CUUR0000SETC01,2008,M03,2008 Mar,114.836
CUUR0000SETC01,2008,M04,2008 Apr,114.496
CUUR0000SETC01,2008,M05,2008 May,115.395
CUUR0000SETC01,2008,M06,2008 Jun,116.371
