Data Type;HTS Number;Year;Month;Description;Quantity Description;General First Unit of Quantity;Suppressed
General First Unit of Quantity;4011;1989;1;NEW PNEUMATIC TIRES, OF RUBBER;number;6403067.00;0.00
General First Unit of Quantity;4011;1990;1;NEW PNEUMATIC TIRES, OF RUBBER;number;8760452.00;0.00
General First Unit of Quantity;4011;1991;1;NEW PNEUMATIC TIRES, OF RUBBER;number;7279261.00;0.00
General First Unit of Quantity;4011;1992;1;NEW PNEUMATIC TIRES, OF RUBBER;number;9759453.00;0.00
General First Unit of Quantity;4011;1993;1;NEW PNEUMATIC TIRES, OF RUBBER;number;7339865.00;0.00
General First Unit of Quantity;4011;1994;1;NEW PNEUMATIC TIRES, OF RUBBER;number;7705792.00;0.00
General First Unit of Quantity;4011;1995;1;NEW PNEUMATIC TIRES, OF RUBBER;number;10767593.00;0.00
General First Unit of Quantity;4011;1996;1;NEW PNEUMATIC TIRES, OF RUBBER;number;8890518.00;0.00
General First Unit of Quantity;4011;1997;1;NEW PNEUMATIC TIRES, OF RUBBER;number;9798198.00;0.00
General First Unit of Quantity;4011;1998;1;NEW PNEUMATIC TIRES, OF RUBBER;number;11644057.00;0.00
General First Unit of Quantity;4011;1999;1;NEW PNEUMATIC TIRES, OF RUBBER;number;10235646.00;0.00
General First Unit of Quantity;4011;2000;1;NEW PNEUMATIC TIRES, OF RUBBER;number;12108405.00;0.00
General First Unit of Quantity;4011;2001;1;NEW PNEUMATIC TIRES, OF RUBBER;number;10812178.00;0.00
General First Unit of Quantity;4011;2002;1;NEW PNEUMATIC TIRES, OF RUBBER;number;10274637.00;0.00
General First Unit of Quantity;4011;2003;1;NEW PNEUMATIC TIRES, OF RUBBER;number;12653496.00;0.00
General First Unit of Quantity;4011;2004;1;NEW PNEUMATIC TIRES, OF RUBBER;number;12704138.00;0.00
General First Unit of Quantity;4011;2005;1;NEW PNEUMATIC TIRES, OF RUBBER;number;14725797.00;0.00
General First Unit of Quantity;4011;2006;1;NEW PNEUMATIC TIRES, OF RUBBER;number;16234638.00;0.00
General First Unit of Quantity;4011;2007;1;NEW PNEUMATIC TIRES, OF RUBBER;number;16474485.00;0.00
General First Unit of Quantity;4011;2008;1;NEW PNEUMATIC TIRES, OF RUBBER;number;15790430.00;0.00
General First Unit of Quantity;4011;2009;1;NEW PNEUMATIC TIRES, OF RUBBER;number;11157525.00;0.00
General First Unit of Quantity;4011;2010;1;NEW PNEUMATIC TIRES, OF RUBBER;number;13544501.00;0.00
General First Unit of Quantity;4011;2011;1;NEW PNEUMATIC TIRES, OF RUBBER;number;16218114.00;0.00
General First Unit of Quantity;4011;2012;1;NEW PNEUMATIC TIRES, OF RUBBER;number;17127290.00;0.00
General First Unit of Quantity;4011;2013;1;NEW PNEUMATIC TIRES, OF RUBBER;number;18342136.00;0.00
General First Unit of Quantity;4011;2014;1;NEW PNEUMATIC TIRES, OF RUBBER;number;19930547.00;0.00
General First Unit of Quantity;4011;2015;1;NEW PNEUMATIC TIRES, OF RUBBER;number;17958427.00;0.00
General First Unit of Quantity;4011;2016;1;NEW PNEUMATIC TIRES, OF RUBBER;number;18627955.00;0.00
General First Unit of Quantity;4011;2017;1;NEW PNEUMATIC TIRES, OF RUBBER;number;20476648.00;0.00
General First Unit of Quantity;4011;2018;1;NEW PNEUMATIC TIRES, OF RUBBER;number;20499988.00;0.00
General First Unit of Quantity;4011;2019;1;NEW PNEUMATIC TIRES, OF RUBBER;number;21322685.00;0.00
General First Unit of Quantity;4011;2020;1;NEW PNEUMATIC TIRES, OF RUBBER;number;20019502.00;0.00
General First Unit of Quantity;4011;2021;1;NEW PNEUMATIC TIRES, OF RUBBER;number;22656059.00;0.00
General First Unit of Quantity;4011;2022;1;NEW PNEUMATIC TIRES, OF RUBBER;number;22914114.00;0.00
General First Unit of Quantity;4011;2023;1;NEW PNEUMATIC TIRES, OF RUBBER;number;18759592.00;0.00
General First Unit of Quantity;4011;2024;1;NEW PNEUMATIC TIRES, OF RUBBER;number;22920879.00;0.00
General First Unit of Quantity;4011;2025;1;NEW PNEUMATIC TIRES, OF RUBBER;number;22944712.00;0.00
General First Unit of Quantity;4011;2026;1;NEW PNEUMATIC TIRES, OF RUBBER;number;23632672.00;0.00
General First Unit of Quantity;4011;1989;2;NEW PNEUMATIC TIRES, OF RUBBER;number;6254040.00;0.00
General First Unit of Quantity;4011;1990;2;NEW PNEUMATIC TIRES, OF RUBBER;number;6857765.00;0.00
General First Unit of Quantity;4011;1991;2;NEW PNEUMATIC TIRES, OF RUBBER;number;7247946.00;0.00
General First Unit of Quantity;4011;1992;2;NEW PNEUMATIC TIRES, OF RUBBER;number;9034975.00;0.00
General First Unit of Quantity;4011;1993;2;NEW PNEUMATIC TIRES, OF RUBBER;number;7149757.00;0.00
General First Unit of Quantity;4011;1994;2;NEW PNEUMATIC TIRES, OF RUBBER;number;7678924.00;0.00
General First Unit of Quantity;4011;1995;2;NEW PNEUMATIC TIRES, OF RUBBER;number;9382857.00;0.00
General First Unit of Quantity;4011;1996;2;NEW PNEUMATIC TIRES, OF RUBBER;number;8559225.00;0.00
