Sector;NAICS;Industry;Digit;Basis;Measure;Units;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Manufacturing;3262;Rubber products;4-Digit;All workers;Labor productivity;% Change from previous year;N.A.;4.0;0.9;4.5;-0.2;1.5;6.0;1.0;3.4;1.9;7.1;-0.3;1.0;1.6;0.8;7.3;2.7;3.2;3.2;2.9;4.7;-5.3;2.4;2.2;7.6;-3.5;-2.4;-3.2;0.9;-1.5;3.0;3.0;-0.2;-6.9;7.6;-5.6;1.0;1.6
Manufacturing;3262;Rubber products;4-Digit;All workers;Real sectoral output;% Change from previous year;N.A.;4.7;0.5;0.6;-5.1;5.1;7.7;3.5;5.8;1.8;7.5;1.0;1.5;1.1;-9.3;-1.3;0.1;2.5;0.1;-3.8;1.5;-10.4;-15.1;12.5;5.3;-0.9;-1.8;2.8;1.0;-3.2;2.7;6.0;-4.1;-16.2;13.8;-2.3;-0.2;-3.9
Manufacturing;3262;Rubber products;4-Digit;All workers;Hours worked;% Change from previous year;N.A.;0.7;-0.4;-3.7;-4.9;3.6;1.6;2.5;2.3;-0.1;0.4;1.4;0.5;-0.5;-10.1;-8.0;-2.5;-0.7;-3.0;-6.5;-3.1;-5.4;-17.1;10.1;-2.1;2.7;0.6;6.2;0.1;-1.8;-0.2;2.9;-3.9;-10.1;5.8;3.5;-1.1;-5.4
Manufacturing;3262;Rubber products;4-Digit;All workers;Output per worker;% Change from previous year;N.A.;4.9;-1.8;2.9;-0.4;4.4;6.2;1.1;2.9;1.7;8.1;-1.0;2.4;0.6;-2.1;6.1;5.0;5.0;1.7;3.5;6.6;-7.3;-1.1;13.2;2.3;-4.1;-1.5;0.6;0.8;-3.6;0.8;4.6;-3.5;-12.0;12.8;-5.3;-0.7;-0.6
Manufacturing;3262;Rubber products;4-Digit;All workers;Unit labor costs;% Change from previous year;N.A.;0.8;5.7;-1.7;5.5;2.9;-2.3;0.0;-1.9;0.2;-5.4;2.7;2.8;2.1;5.4;1.0;-0.9;-3.1;0.2;-0.6;-0.4;6.7;2.0;-3.9;-2.4;3.4;4.6;-0.9;1.1;4.9;-1.6;3.4;5.8;12.2;-3.8;10.9;3.3;7.4
Manufacturing;3262;Rubber products;4-Digit;All workers;Sectoral output;% Change from previous year;N.A.;7.7;4.1;1.9;-2.8;5.7;8.4;4.3;8.5;1.3;7.1;0.9;0.9;1.5;-8.4;-1.0;1.5;5.0;4.5;0.9;4.1;-4.1;-12.7;16.5;15.3;3.4;-2.0;1.6;0.2;-3.7;3.7;7.8;-2.9;-15.8;18.2;11.3;5.0;-3.9
Manufacturing;3262;Rubber products;4-Digit;All workers;Sectoral output price deflator;% Change from previous year;N.A.;2.9;3.6;1.2;2.4;0.6;0.7;0.8;2.5;-0.5;-0.4;-0.2;-0.6;0.4;1.0;0.3;1.4;2.5;4.3;4.9;2.6;7.0;2.9;3.6;9.5;4.3;-0.2;-1.2;-0.7;-0.5;1.0;1.7;1.2;0.6;3.9;13.8;5.2;0.0
Manufacturing;3262;Rubber products;4-Digit;All workers;Hourly compensation;% Change from previous year;N.A.;4.9;6.7;2.8;5.2;4.4;3.5;1.0;1.5;2.1;1.3;2.3;3.9;3.7;6.3;8.4;1.8;-0.1;3.5;2.4;4.3;1.1;4.5;-1.8;5.0;-0.2;2.1;-4.1;2.0;3.3;1.3;6.5;5.6;4.5;3.5;4.8;4.3;9.1
Manufacturing;3262;Rubber products;4-Digit;All workers;Labor compensation;% Change from previous year;N.A.;5.6;6.2;-1.0;0.1;8.1;5.2;3.5;3.8;2.0;1.7;3.7;4.4;3.2;-4.4;-0.3;-0.8;-0.8;0.4;-4.3;1.1;-4.4;-13.4;8.2;2.7;2.5;2.7;1.9;2.0;1.5;1.1;9.6;1.5;-6.0;9.4;8.4;3.1;3.2
Manufacturing;3262;Rubber products;4-Digit;All workers;Employment;% Change from previous year;N.A.;-0.2;2.3;-2.2;-4.7;0.7;1.4;2.4;2.8;0.1;-0.6;2.0;-0.9;0.5;-7.4;-6.9;-4.7;-2.4;-1.6;-7.1;-4.8;-3.4;-14.2;-0.6;2.9;3.4;-0.3;2.2;0.1;0.4;1.9;1.3;-0.6;-4.9;0.8;3.2;0.5;-3.3
Manufacturing;3262;Rubber products;4-Digit;All workers;Total factor productivity;% Change from previous year;N.A.;2.0;-0.6;2.0;0.0;1.0;4.7;2.2;0.0;-0.4;3.9;-0.2;1.2;0.1;-2.4;3.5;3.0;0.8;0.2;-1.0;1.9;-3.9;0.9;3.8;-0.9;-5.6;-0.9;0.8;-0.3;-0.9;-0.4;4.3;-0.2;-6.9;14.1;-9.1;N.A.;N.A.
Manufacturing;3262;Rubber products;4-Digit;All workers;Combined inputs;% Change from previous year;N.A.;2.7;1.1;-1.3;-5.1;4.1;2.8;1.3;5.8;2.2;3.4;1.2;0.3;1.0;-7.1;-4.6;-2.8;1.7;0.0;-2.8;-0.4;-6.8;-15.9;8.4;6.2;5.0;-0.9;2.0;1.3;-2.4;3.2;1.6;-3.9;-10.0;-0.3;7.5;N.A.;N.A.
Manufacturing;3262;Rubber products;4-Digit;All workers;Combined inputs costs;% Change from previous year;N.A.;7.7;4.1;1.9;-2.8;5.7;8.4;4.3;8.5;1.3;7.1;0.9;0.9;1.5;-8.4;-1.0;1.5;5.0;4.5;0.9;4.1;-4.1;-12.7;16.5;15.3;3.4;-2.0;1.6;0.2;-3.7;3.7;7.8;-2.9;-15.8;18.2;11.3;N.A.;N.A.
Manufacturing;3262;Rubber products;4-Digit;All workers;Combined inputs price deflator;% Change from previous year;N.A.;4.9;3.0;3.2;2.4;1.6;5.4;3.0;2.5;-0.9;3.5;-0.3;0.7;0.5;-1.4;3.8;4.4;3.3;4.5;3.8;4.5;2.8;3.8;7.5;8.5;-1.5;-1.1;-0.4;-1.1;-1.4;0.6;6.1;1.0;-6.4;18.6;3.5;N.A.;N.A.
Manufacturing;3262;Rubber products;4-Digit;All workers;Capital input;% Change from previous year;N.A.;-1.2;0.9;1.7;-0.4;-0.7;0.5;0.0;0.0;0.9;1.6;2.0;2.3;2.0;0.5;-1.2;-1.6;-1.3;-0.6;-1.1;-0.7;-0.3;-1.6;-2.5;-0.5;-0.1;0.0;0.5;0.5;-0.5;0.5;1.4;0.9;0.7;-0.2;5.2;N.A.;N.A.
Manufacturing;3262;Rubber products;4-Digit;All workers;Capital costs;% Change from previous year;N.A.;-2.5;-1.3;13.7;1.7;-1.8;23.2;7.4;-8.1;-7.6;30.3;4.6;3.8;-12.2;-19.7;8.6;9.9;3.0;-2.7;-4.3;8.8;-25.0;49.3;19.0;8.6;-5.3;-3.9;9.3;6.4;-6.1;-12.4;20.5;-1.1;-34.5;68.7;-19.1;N.A.;N.A.
Manufacturing;3262;Rubber products;4-Digit;All workers;Capital share;% Change from previous year;N.A.;-9.6;-5.3;12.0;4.4;-7.2;13.6;2.9;-15.0;-9.2;22.3;3.5;2.8;-13.3;-12.7;9.5;8.7;-1.8;-6.9;-5.4;5.0;-22.3;71.3;2.5;-5.9;-8.4;-1.7;7.6;6.0;-2.6;-15.3;11.2;2.2;-22.4;43.0;-27.6;N.A.;N.A.
Manufacturing;3262;Rubber products;4-Digit;All workers;Capital productivity;% Change from previous year;N.A.;5.9;-0.3;-1.0;-4.7;5.9;7.1;3.5;5.8;0.9;5.8;-0.9;-0.8;-0.9;-9.7;0.0;1.7;3.8;0.8;-2.7;2.2;-10.2;-13.8;15.4;5.8;-0.8;-1.8;2.3;0.5;-2.8;2.2;4.5;-5.0;-16.8;14.0;-7.1;N.A.;N.A.
Manufacturing;3262;Rubber products;4-Digit;All workers;Capital intensity;% Change from previous year;N.A.;-1.8;1.3;5.6;4.7;-4.2;-1.1;-2.5;-2.3;1.0;1.2;0.6;1.8;2.5;11.7;7.3;1.0;-0.6;2.4;5.8;2.5;5.4;18.7;-11.5;1.7;-2.8;-0.6;-5.4;0.4;1.3;0.7;-1.4;5.0;11.9;-5.7;1.7;N.A.;N.A.
Manufacturing;3262;Rubber products;4-Digit;All workers;Labor share;% Change from previous year;N.A.;-2.0;2.0;-3.0;3.4;2.0;-2.9;-0.7;-4.3;0.7;-5.2;2.9;3.5;1.7;4.4;0.6;-2.2;-5.6;-3.8;-5.4;-2.7;-0.4;-0.8;-7.1;-11.1;-0.5;4.8;0.0;1.8;5.4;-2.6;1.8;4.7;11.5;-7.4;-2.8;N.A.;N.A.
Manufacturing;3262;Rubber products;4-Digit;All workers;Intermediate inputs;% Change from previous year;N.A.;5.0;2.0;-0.8;-6.6;5.9;4.3;1.0;9.7;3.7;5.5;0.9;-0.6;1.5;-7.4;-3.5;-3.4;3.9;1.7;-1.5;0.9;-8.7;-18.8;11.8;12.1;7.3;-1.7;1.0;2.0;-3.2;5.3;1.2;-5.4;-12.7;-2.9;10.0;N.A.;N.A.
Manufacturing;3262;Rubber products;4-Digit;All workers;Intermediate inputs costs;% Change from previous year;N.A.;12.1;4.5;0.4;-5.8;6.8;6.0;3.8;17.0;3.4;4.2;-1.7;-1.8;5.3;-7.4;-3.8;0.5;8.9;8.7;4.7;4.2;1.1;-23.7;19.5;22.9;6.4;-3.1;-0.6;-2.3;-4.9;10.1;3.8;-5.2;-13.9;10.1;23.8;N.A.;N.A.
Manufacturing;3262;Rubber products;4-Digit;All workers;Intermediate inputs share;% Change from previous year;N.A.;4.2;0.4;-1.4;-3.1;0.9;-2.1;-0.6;7.7;2.1;-2.8;-2.5;-2.8;3.8;1.1;-2.7;-1.1;3.8;4.2;3.8;0.2;5.4;-12.6;2.5;6.6;2.8;-1.0;-2.3;-2.5;-1.2;6.1;-3.6;-2.4;2.1;-6.8;11.2;N.A.;N.A.
Manufacturing;3262;Rubber products;4-Digit;All workers;Intermediate inputs productivity;% Change from previous year;N.A.;-0.3;-1.5;1.5;1.6;-0.7;3.2;2.5;-3.6;-1.8;1.9;0.1;2.1;-0.4;-2.1;2.3;3.6;-1.4;-1.5;-2.4;0.6;-1.9;4.5;0.6;-6.1;-7.7;-0.1;1.8;-1.0;0.0;-2.5;4.8;1.4;-4.0;17.2;-11.1;N.A.;N.A.
Manufacturing;3262;Rubber products;4-Digit;All workers;Intermediate inputs intensity;% Change from previous year;N.A.;4.3;2.5;3.0;-1.8;2.2;2.7;-1.5;7.3;3.8;5.1;-0.4;-1.1;2.0;3.0;4.9;-0.8;4.6;4.8;5.4;4.1;-3.5;-2.1;1.5;14.5;4.5;-2.3;-4.9;1.9;-1.5;5.6;-1.7;-1.6;-3.0;-8.2;6.3;N.A.;N.A.
Manufacturing;3262;Rubber products;4-Digit;All workers;Contribution of capital intensity to labor productivity;% Change from previous year;N.A.;-0.3;0.2;0.8;0.8;-0.7;-0.2;-0.4;-0.4;0.1;0.2;0.1;0.3;0.4;1.6;1.0;0.2;-0.1;0.4;0.8;0.4;0.7;2.7;-2.4;0.3;-0.5;-0.1;-1.0;0.1;0.3;0.1;-0.2;0.9;1.8;-1.0;0.3;N.A.;N.A.
Manufacturing;3262;Rubber products;4-Digit;All workers;Contribution of intermediate inputs intensity to labor productivity;% Change from previous year;N.A.;2.3;1.4;1.6;-1.0;1.2;1.4;-0.8;3.9;2.1;2.8;-0.2;-0.6;1.1;1.6;2.6;-0.5;2.5;2.7;3.1;2.4;-2.1;-1.2;0.8;8.2;2.7;-1.4;-3.0;1.1;-0.9;3.3;-1.0;-0.9;-1.7;-4.8;3.6;N.A.;N.A.
Manufacturing;3262;Rubber products;4-Digit;All workers;Labor productivity;Index (2017=100);57.503;59.787;60.345;63.071;62.922;63.864;67.677;68.337;70.689;72.044;77.136;76.893;77.655;78.879;79.544;85.346;87.635;90.416;93.318;96.067;100.600;95.236;97.486;99.590;107.129;103.356;100.870;97.690;98.563;97.105;100.000;103.037;102.795;95.745;102.985;97.245;98.177;99.731
Manufacturing;3262;Rubber products;4-Digit;All workers;Real sectoral output;Index (2017=100);87.178;91.274;91.733;92.328;87.621;92.096;99.154;102.652;108.621;110.577;118.850;120.090;121.890;123.214;111.712;110.306;110.380;113.092;113.255;108.959;110.569;99.050;84.070;94.579;99.553;98.664;96.868;99.600;100.572;97.343;100.000;106.012;101.639;85.149;96.870;94.690;94.529;90.845
Manufacturing;3262;Rubber products;4-Digit;All workers;Hours worked;Index (2017=100);151.608;152.665;152.013;146.389;139.255;144.206;146.510;150.215;153.660;153.484;154.078;156.179;156.964;156.206;140.441;129.246;125.954;125.080;121.364;113.420;109.910;104.004;86.238;94.969;92.929;95.460;96.033;101.955;102.038;100.245;100.000;102.887;98.876;88.933;94.062;97.373;96.284;91.090
